"","Aeschylus","Diodorus","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,0,0,1,0,0,0,0,0,1
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,0,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,2,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,1,0,0,0,0,0,1,0,1,1,3
"-SUM-",0,0,1,0,0,0,1,0,1,0,1,0,4
"Aeschylus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,3,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,2,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,0,0,1,0,0,0,0,0,1
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,1,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,2,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,0,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,0,0
"-SUM-",0,0,0,0,0,0,1,0,0,0,0,0,1
"Aeschylus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,2,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,0,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,2,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,0,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,2,0
"-SUM-",0,0,0,0,1,0,0,0,0,0,0,0,1
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thucydides",0,1,0,0,0,0,0,0,0,0,1,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,0,0
"-SUM-",0,1,0,0,1,0,1,0,0,0,0,0,3
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,2,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,0,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,1,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,1,0,1,0,0,0,0,0,2
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,1,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,3,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thucydides",0,1,0,0,0,0,0,0,0,0,0,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,1,0,0,0,0,0,0,0,0,0,0,1
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,0,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,3,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,0,0
"-SUM-",0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,1,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,1,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,2,0,0,0
"Thucydides",0,1,0,0,0,0,0,0,0,0,1,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,1,0,1
"-SUM-",0,1,0,0,0,0,0,0,0,0,1,0,2
"Aeschylus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,2,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,2,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,1,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,3,0
"-SUM-",0,0,0,0,1,0,0,0,0,0,0,0,1
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,1,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,1,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,3,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,1,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,0,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,2,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,2,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,0,0
"-SUM-",0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,3,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,1,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,2,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,1,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,2,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,0,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeschylus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,2,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,2,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,1,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,0,0
"-SUM-",0,0,0,0,1,0,1,0,0,0,0,0,2
"Aeschylus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,3,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,0,0,1,0,0,0,0,0,1
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,0,0,1,0,0,0,0,0,1
"Aeschylus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,3,0,0,0,0,0,2,2
"OdHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,1,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,0,0
"-SUM-",0,0,0,0,2,0,0,0,0,0,0,2,4
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,0,0,1,0,0,0,0,0,1
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,0,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,2,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,3,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,0,0
"-SUM-",0,0,0,0,0,0,1,0,0,0,0,0,1
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,2,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,2,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,0,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeschylus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,1,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,3,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,3,0,0,0
"Thucydides",0,1,0,0,0,0,0,0,0,0,0,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,1,0,0,0,0,0,0,0,0,0,0,1
"Aeschylus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,3,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,0,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thucydides",0,1,0,0,0,0,0,0,0,0,1,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,2,0
"-SUM-",0,1,0,0,2,0,0,0,0,0,0,0,3
"Aeschylus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,2,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,0,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeschylus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,4,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,2,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,1,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,2,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,0,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,1,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,3,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,0,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,2,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,2,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,4,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,1,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,2,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,0,0
"-SUM-",0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeschylus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,3,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,2,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,1,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,0,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thucydides",0,1,0,0,0,0,0,0,0,0,1,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,1,0,0,0,0,0,0,0,0,0,0,1
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,3,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,2,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,1,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,0,0,0,0
