"","Diodorus","Herodotus","Lysias","Plutarch","Polybius","Thucydides","-SUM-"
"Diodorus",13,3,0,1,3,0,7
"Herodotus",2,16,1,1,0,8,12
"Lysias",0,2,16,0,2,1,5
"Plutarch",1,3,0,7,3,3,10
"Polybius",1,1,0,2,18,0,4
"Thucydides",1,1,3,2,1,17,8
"-SUM-",5,10,4,6,9,12,46
"Diodorus",13,3,0,1,4,0,8
"Herodotus",2,19,1,1,1,0,5
"Lysias",0,1,17,0,0,2,3
"Plutarch",1,1,0,9,4,3,9
"Polybius",1,0,1,2,26,0,4
"Thucydides",1,3,1,1,1,13,7
"-SUM-",5,8,3,5,10,5,36
"Diodorus",12,1,0,0,4,0,5
"Herodotus",0,18,1,0,2,3,6
"Lysias",1,3,16,1,4,1,10
"Plutarch",0,3,0,11,5,3,11
"Polybius",0,0,0,0,22,0,0
"Thucydides",0,2,1,4,4,11,11
"-SUM-",1,9,2,5,19,7,43
"Diodorus",19,1,0,0,3,0,4
"Herodotus",1,20,1,1,0,2,5
"Lysias",0,2,20,1,2,1,6
"Plutarch",0,2,0,14,5,0,7
"Polybius",4,0,0,1,12,1,6
"Thucydides",0,4,1,0,2,13,7
"-SUM-",5,9,2,3,12,4,35
"Diodorus",15,1,0,0,3,1,5
"Herodotus",2,19,0,0,1,1,4
"Lysias",0,3,10,1,0,0,4
"Plutarch",2,1,0,17,6,2,11
"Polybius",0,0,0,1,26,0,1
"Thucydides",0,3,0,2,1,15,6
"-SUM-",4,8,0,4,11,4,31
"Diodorus",17,1,0,0,4,0,5
"Herodotus",2,11,0,1,0,2,5
"Lysias",0,3,15,1,2,2,8
"Plutarch",0,0,2,11,8,3,13
"Polybius",1,1,0,0,20,0,2
"Thucydides",0,3,2,3,3,15,11
"-SUM-",3,8,4,5,17,7,44
"Diodorus",13,1,0,0,5,0,6
"Herodotus",3,23,0,0,1,1,5
"Lysias",0,2,20,1,2,2,7
"Plutarch",0,1,0,15,4,0,5
"Polybius",0,0,0,2,21,0,2
"Thucydides",0,5,2,1,1,7,9
"-SUM-",3,9,2,4,13,3,34
"Diodorus",16,2,0,0,4,1,7
"Herodotus",0,15,1,0,0,4,5
"Lysias",1,2,15,3,1,1,8
"Plutarch",1,7,0,11,4,1,13
"Polybius",0,0,0,1,20,0,1
"Thucydides",0,4,0,1,1,16,6
"-SUM-",2,15,1,5,10,7,40
"Diodorus",12,2,0,0,7,0,9
"Herodotus",3,16,0,1,1,2,7
"Lysias",1,1,13,0,2,1,5
"Plutarch",0,4,1,14,5,2,12
"Polybius",2,1,0,0,17,0,3
"Thucydides",1,5,0,1,5,13,12
"-SUM-",7,13,1,2,20,5,48
"Diodorus",19,1,0,0,4,0,5
"Herodotus",3,22,2,1,1,2,9
"Lysias",0,1,13,0,2,0,3
"Plutarch",1,1,0,13,3,1,6
"Polybius",3,1,0,1,18,0,5
"Thucydides",1,4,2,3,2,8,12
"-SUM-",8,8,4,5,12,3,40
"Diodorus",18,1,0,0,6,0,7
"Herodotus",1,10,1,2,1,2,7
"Lysias",0,3,17,3,0,4,10
"Plutarch",0,0,0,12,5,0,5
"Polybius",2,1,0,1,25,0,4
"Thucydides",0,3,1,3,1,10,8
"-SUM-",3,8,2,9,13,6,41
"Diodorus",14,0,0,0,5,1,6
"Herodotus",2,27,0,0,2,3,7
"Lysias",0,2,25,0,0,0,2
"Plutarch",0,1,0,6,3,2,6
"Polybius",2,0,0,1,17,0,3
"Thucydides",0,2,1,2,1,14,6
"-SUM-",4,5,1,3,11,6,30
"Diodorus",12,1,0,0,8,0,9
"Herodotus",0,17,1,0,3,0,4
"Lysias",0,3,12,0,0,0,3
"Plutarch",0,3,0,12,5,3,11
"Polybius",0,1,0,1,24,0,2
"Thucydides",1,5,2,3,3,13,14
"-SUM-",1,13,3,4,19,3,43
"Diodorus",14,2,0,0,9,0,11
"Herodotus",3,18,0,0,2,3,8
"Lysias",1,2,17,1,3,2,9
"Plutarch",0,1,0,8,2,2,5
"Polybius",3,0,0,1,15,1,5
"Thucydides",1,5,0,1,1,15,8
"-SUM-",8,10,0,3,17,8,46
"Diodorus",17,3,0,0,5,0,8
"Herodotus",4,15,0,2,0,2,8
"Lysias",1,1,9,1,0,2,5
"Plutarch",0,3,1,14,1,2,7
"Polybius",0,2,0,2,23,0,4
"Thucydides",1,4,1,4,2,11,12
"-SUM-",6,13,2,9,8,6,44
"Diodorus",21,0,0,0,3,0,3
"Herodotus",1,11,1,1,1,1,5
"Lysias",0,5,12,0,1,1,7
"Plutarch",3,3,1,10,6,2,15
"Polybius",1,1,0,3,17,1,6
"Thucydides",0,9,0,4,0,13,13
"-SUM-",5,18,2,8,11,5,49
"Diodorus",15,3,0,0,4,0,7
"Herodotus",0,18,0,0,2,1,3
"Lysias",0,1,11,1,0,1,3
"Plutarch",1,2,0,10,3,3,9
"Polybius",2,1,0,1,25,0,4
"Thucydides",1,4,2,2,4,15,13
"-SUM-",4,11,2,4,13,5,39
"Diodorus",19,0,0,0,1,0,1
"Herodotus",3,15,0,4,0,2,9
"Lysias",0,1,17,0,3,0,4
"Plutarch",0,2,0,15,3,3,8
"Polybius",0,0,0,1,30,0,1
"Thucydides",0,3,0,2,1,8,6
"-SUM-",3,6,0,7,8,5,29
"Diodorus",18,1,0,1,6,0,8
"Herodotus",1,15,0,0,1,0,2
"Lysias",0,2,13,0,1,5,8
"Plutarch",0,0,2,13,3,3,8
"Polybius",1,0,0,0,23,0,1
"Thucydides",0,6,0,2,2,14,10
"-SUM-",2,9,2,3,13,8,37
"Diodorus",18,0,0,0,2,1,3
"Herodotus",0,15,0,1,0,3,4
"Lysias",0,3,15,1,1,1,6
"Plutarch",1,3,0,14,4,4,12
"Polybius",2,1,1,0,18,0,4
"Thucydides",0,6,2,0,1,15,9
"-SUM-",3,13,3,2,8,9,38
"Diodorus",12,3,0,0,6,1,10
"Herodotus",0,14,0,2,1,1,4
"Lysias",0,1,17,1,0,3,5
"Plutarch",0,1,0,14,3,4,8
"Polybius",0,1,0,0,27,0,1
"Thucydides",0,2,0,3,3,13,8
"-SUM-",0,8,0,6,13,9,36
"Diodorus",17,0,0,0,9,0,9
"Herodotus",1,11,1,4,2,3,11
"Lysias",1,2,10,0,0,0,3
"Plutarch",0,2,1,12,8,4,15
"Polybius",1,0,0,2,22,0,3
"Thucydides",0,4,1,1,1,13,7
"-SUM-",3,8,3,7,20,7,48
"Diodorus",14,2,0,0,4,0,6
"Herodotus",2,19,0,2,2,0,6
"Lysias",0,2,10,0,2,1,5
"Plutarch",0,1,1,10,6,3,11
"Polybius",2,0,0,0,25,2,4
"Thucydides",2,4,0,1,3,13,10
"-SUM-",6,9,1,3,17,6,42
"Diodorus",19,0,0,0,4,0,4
"Herodotus",2,20,1,1,2,2,8
"Lysias",0,3,10,0,1,2,6
"Plutarch",1,4,0,9,5,4,14
"Polybius",0,0,0,1,19,1,2
"Thucydides",1,1,0,5,0,15,7
"-SUM-",4,8,1,7,12,9,41
"Diodorus",15,2,0,0,5,1,8
"Herodotus",1,20,1,1,1,3,7
"Lysias",0,1,14,1,1,1,4
"Plutarch",0,4,0,11,2,3,9
"Polybius",2,0,0,1,23,0,3
"Thucydides",1,2,1,2,2,11,8
"-SUM-",4,9,2,5,11,8,39
"Diodorus",15,1,0,1,3,0,5
"Herodotus",2,18,0,2,0,0,4
"Lysias",0,4,17,0,1,1,6
"Plutarch",0,1,2,14,3,2,8
"Polybius",2,0,1,1,20,1,5
"Thucydides",1,2,0,2,2,14,7
"-SUM-",5,8,3,6,9,4,35
"Diodorus",12,1,0,0,4,0,5
"Herodotus",2,14,0,1,0,3,6
"Lysias",0,4,18,1,4,0,9
"Plutarch",1,2,1,11,5,2,11
"Polybius",1,0,0,0,24,0,1
"Thucydides",0,1,0,2,2,17,5
"-SUM-",4,8,1,4,15,5,37
"Diodorus",21,1,0,0,3,0,4
"Herodotus",1,22,1,0,1,2,5
"Lysias",0,4,15,1,1,0,6
"Plutarch",0,6,0,10,1,3,10
"Polybius",4,0,0,1,15,1,6
"Thucydides",2,5,0,0,0,12,7
"-SUM-",7,16,1,2,6,6,38
"Diodorus",22,0,0,0,2,0,2
"Herodotus",1,13,0,0,0,4,5
"Lysias",0,2,20,0,3,2,7
"Plutarch",2,3,0,11,2,3,10
"Polybius",1,1,0,0,20,1,3
"Thucydides",0,3,0,4,0,13,7
"-SUM-",4,9,0,4,7,10,34
"Diodorus",21,1,0,0,3,1,5
"Herodotus",4,15,1,0,1,3,9
"Lysias",0,1,15,0,0,1,2
"Plutarch",1,4,1,7,11,3,20
"Polybius",0,2,0,1,18,0,3
"Thucydides",1,3,1,1,3,9,9
"-SUM-",6,11,3,2,18,8,48
"Diodorus",17,1,0,0,4,0,5
"Herodotus",1,13,1,0,1,2,5
"Lysias",0,3,16,0,2,2,7
"Plutarch",0,3,0,17,3,1,7
"Polybius",2,0,0,0,20,1,3
"Thucydides",0,4,1,1,0,17,6
"-SUM-",3,11,2,1,10,6,33
"Diodorus",16,1,0,0,6,0,7
"Herodotus",1,18,0,1,0,2,4
"Lysias",0,2,15,1,0,0,3
"Plutarch",0,5,0,13,3,2,10
"Polybius",0,0,1,0,25,1,2
"Thucydides",0,1,1,3,3,12,8
"-SUM-",1,9,2,5,12,5,34
"Diodorus",12,0,0,0,7,0,7
"Herodotus",1,11,2,0,0,3,6
"Lysias",0,0,19,2,2,0,4
"Plutarch",0,4,2,9,5,2,13
"Polybius",0,1,0,3,22,1,5
"Thucydides",1,3,4,2,4,11,14
"-SUM-",2,8,8,7,18,6,49
"Diodorus",17,1,0,0,0,1,2
"Herodotus",4,21,0,0,1,4,9
"Lysias",0,3,16,0,4,0,7
"Plutarch",0,0,0,11,1,0,1
"Polybius",1,0,0,1,20,0,2
"Thucydides",1,3,3,3,3,14,13
"-SUM-",6,7,3,4,9,5,34
"Diodorus",11,1,0,0,1,0,2
"Herodotus",2,17,2,2,0,2,8
"Lysias",0,3,21,1,1,1,6
"Plutarch",0,3,0,14,4,5,12
"Polybius",0,0,0,0,22,0,0
"Thucydides",1,5,1,2,4,7,13
"-SUM-",3,12,3,5,10,8,41
"Diodorus",19,2,0,0,6,0,8
"Herodotus",1,17,0,1,1,3,6
"Lysias",0,2,15,2,0,4,8
"Plutarch",0,1,1,14,6,1,9
"Polybius",1,1,0,2,19,0,4
"Thucydides",0,0,0,5,2,7,7
"-SUM-",2,6,1,10,15,8,42
"Diodorus",15,1,0,0,1,0,2
"Herodotus",1,19,0,1,1,2,5
"Lysias",0,3,17,1,0,0,4
"Plutarch",1,3,1,11,7,3,15
"Polybius",1,1,0,0,21,0,2
"Thucydides",1,2,0,2,2,15,7
"-SUM-",4,10,1,4,11,5,35
"Diodorus",17,1,0,0,2,0,3
"Herodotus",0,17,0,0,1,4,5
"Lysias",0,3,19,0,1,2,6
"Plutarch",0,6,0,10,6,4,16
"Polybius",0,1,0,0,18,0,1
"Thucydides",0,3,2,1,0,15,6
"-SUM-",0,14,2,1,10,10,37
"Diodorus",13,2,0,0,5,0,7
"Herodotus",1,15,0,0,2,3,6
"Lysias",0,4,16,0,3,1,8
"Plutarch",1,4,1,14,5,1,12
"Polybius",1,0,0,1,16,2,4
"Thucydides",0,0,1,1,3,17,5
"-SUM-",3,10,2,2,18,7,42
"Diodorus",13,3,0,0,5,0,8
"Herodotus",0,14,0,1,2,4,7
"Lysias",1,2,19,0,2,0,5
"Plutarch",1,4,0,12,2,2,9
"Polybius",0,0,0,2,21,1,3
"Thucydides",1,0,1,2,3,15,7
"-SUM-",3,9,1,5,14,7,39
"Diodorus",17,1,0,0,2,0,3
"Herodotus",3,19,1,1,0,7,12
"Lysias",0,4,16,1,0,1,6
"Plutarch",1,1,1,12,5,1,9
"Polybius",0,1,0,0,17,0,1
"Thucydides",0,1,1,2,1,16,5
"-SUM-",4,8,3,4,8,9,36
"Diodorus",14,4,0,1,1,0,6
"Herodotus",2,17,0,0,0,2,4
"Lysias",0,2,23,2,1,1,6
"Plutarch",1,3,0,7,10,2,16
"Polybius",0,1,0,1,15,0,2
"Thucydides",1,6,1,1,2,12,11
"-SUM-",4,16,1,5,14,5,45
"Diodorus",13,0,0,0,5,0,5
"Herodotus",1,26,2,1,2,2,8
"Lysias",0,3,15,1,1,1,6
"Plutarch",3,2,0,10,4,2,11
"Polybius",2,1,0,0,20,2,5
"Thucydides",0,2,1,1,0,10,4
"-SUM-",6,8,3,3,12,7,39
"Diodorus",15,1,0,0,7,0,8
"Herodotus",0,15,0,1,0,1,2
"Lysias",0,2,19,0,0,0,2
"Plutarch",1,1,0,13,6,1,9
"Polybius",1,0,1,1,21,0,3
"Thucydides",0,4,1,5,1,15,11
"-SUM-",2,8,2,7,14,2,35
"Diodorus",16,1,0,0,1,2,4
"Herodotus",1,20,1,1,2,3,8
"Lysias",0,1,21,1,0,3,5
"Plutarch",1,1,0,12,2,4,8
"Polybius",0,0,2,1,17,0,3
"Thucydides",0,1,0,2,2,14,5
"-SUM-",2,4,3,5,7,12,33
"Diodorus",17,2,0,1,2,0,5
"Herodotus",1,18,1,3,0,2,7
"Lysias",0,0,14,0,1,0,1
"Plutarch",0,4,0,12,7,4,15
"Polybius",0,0,0,0,17,0,0
"Thucydides",0,10,3,2,1,11,16
"-SUM-",1,16,4,6,11,6,44
"Diodorus",12,0,0,1,6,0,7
"Herodotus",4,22,0,0,1,1,6
"Lysias",1,1,17,0,0,1,3
"Plutarch",0,4,2,13,1,0,7
"Polybius",0,0,1,0,24,0,1
"Thucydides",1,0,2,3,0,15,6
"-SUM-",6,5,5,4,8,2,30
"Diodorus",14,0,0,1,4,0,5
"Herodotus",2,15,1,1,4,1,9
"Lysias",0,3,17,1,0,0,4
"Plutarch",1,2,1,19,3,0,7
"Polybius",0,0,0,2,21,0,2
"Thucydides",0,5,0,1,0,14,6
"-SUM-",3,10,2,6,11,1,33
"Diodorus",15,1,0,0,4,1,6
"Herodotus",1,15,0,1,1,2,5
"Lysias",0,4,13,1,0,0,5
"Plutarch",0,1,0,17,4,3,8
"Polybius",0,0,0,0,26,0,0
"Thucydides",0,2,0,4,4,13,10
"-SUM-",1,8,0,6,13,6,34
"Diodorus",18,1,0,0,2,0,3
"Herodotus",2,22,0,0,1,2,5
"Lysias",1,1,16,2,1,1,6
"Plutarch",1,0,0,11,4,2,7
"Polybius",0,0,1,0,17,0,1
