"","a","b","score"
"1","Diod_Sic_Book_11_s-253_w-8","Diod_Sic_Book_11_s-564_w-22",0.504291845493562
"2","Diod_Sic_Book_11_s-253_w-8","DiodorusSic_Book11",0.329776915615907
"3","Diod_Sic_Book_11_s-253_w-8","Hdt_Book_1_s-1440_w-6",0.40032154340836
"4","Diod_Sic_Book_11_s-253_w-8","Hdt_Book_1_s-743_w-4",0.453703703703704
"5","Diod_Sic_Book_11_s-253_w-8","Herodotus_Book1",0.204976303317536
"6","Diod_Sic_Book_11_s-253_w-8","Plutarch_Alcibiades",0.325765054294176
"7","Diod_Sic_Book_11_s-253_w-8","Plutarch_Alcibiades_s-132_w-14",0.451388888888889
"8","Diod_Sic_Book_11_s-253_w-8","Plutarch_Alcibiades_s-295_w-2",0.525751072961373
"9","Diod_Sic_Book_11_s-253_w-8","Plutarch_Lycurgus",0.298261665141812
"10","Diod_Sic_Book_11_s-253_w-8","Plutarch_Lycurgus_s-116_w-28",0.425925925925926
"11","Diod_Sic_Book_11_s-253_w-8","Plutarch_Lycurgus_s-163_w-3",0.499075785582255
"12","Diod_Sic_Book_11_s-253_w-8","Polybius_Book_1_s-458_w-2",0.462845010615711
"13","Diod_Sic_Book_11_s-253_w-8","Polybius_Book_1_s-560_w-48",0.514893617021277
"14","Diod_Sic_Book_11_s-253_w-8","Polybius_Book1",0.222946544980443
"15","Diod_Sic_Book_11_s-253_w-8","Thuc_Book_1_s-552_w-19",0.501923076923077
"16","Diod_Sic_Book_11_s-253_w-8","Thuc_Book_1_s-586_w-15",0.471243042671614
"17","Diod_Sic_Book_11_s-253_w-8","Thucydides_Book1",0.235492577597841
"18","Diod_Sic_Book_11_s-564_w-22","DiodorusSic_Book11",0.316356513222331
"19","Diod_Sic_Book_11_s-564_w-22","Hdt_Book_1_s-1440_w-6",0.420875420875421
"20","Diod_Sic_Book_11_s-564_w-22","Hdt_Book_1_s-743_w-4",0.50996015936255
"21","Diod_Sic_Book_11_s-564_w-22","Herodotus_Book1",0.192513368983957
"22","Diod_Sic_Book_11_s-564_w-22","Plutarch_Alcibiades",0.312063808574277
"23","Diod_Sic_Book_11_s-564_w-22","Plutarch_Alcibiades_s-132_w-14",0.487132352941176
"24","Diod_Sic_Book_11_s-564_w-22","Plutarch_Alcibiades_s-295_w-2",0.537078651685393
"25","Diod_Sic_Book_11_s-564_w-22","Plutarch_Lycurgus",0.287696577243293
"26","Diod_Sic_Book_11_s-564_w-22","Plutarch_Lycurgus_s-116_w-28",0.441124780316344
"27","Diod_Sic_Book_11_s-564_w-22","Plutarch_Lycurgus_s-163_w-3",0.513513513513513
"28","Diod_Sic_Book_11_s-564_w-22","Polybius_Book_1_s-458_w-2",0.565011820330969
"29","Diod_Sic_Book_11_s-564_w-22","Polybius_Book_1_s-560_w-48",0.539325842696629
"30","Diod_Sic_Book_11_s-564_w-22","Polybius_Book1",0.215647600262985
"31","Diod_Sic_Book_11_s-564_w-22","Thuc_Book_1_s-552_w-19",0.520161290322581
"32","Diod_Sic_Book_11_s-564_w-22","Thuc_Book_1_s-586_w-15",0.507874015748031
"33","Diod_Sic_Book_11_s-564_w-22","Thucydides_Book1",0.220568335588633
"34","DiodorusSic_Book11","Hdt_Book_1_s-1440_w-6",0.394106813996317
"35","DiodorusSic_Book11","Hdt_Book_1_s-743_w-4",0.339587242026266
"36","DiodorusSic_Book11","Herodotus_Book1",0.465243568691845
"37","DiodorusSic_Book11","Plutarch_Alcibiades",0.540729247478666
"38","DiodorusSic_Book11","Plutarch_Alcibiades_s-132_w-14",0.377094972067039
"39","DiodorusSic_Book11","Plutarch_Alcibiades_s-295_w-2",0.310745401742498
"40","DiodorusSic_Book11","Plutarch_Lycurgus",0.466571834992888
"41","DiodorusSic_Book11","Plutarch_Lycurgus_s-116_w-28",0.372007366482505
"42","DiodorusSic_Book11","Plutarch_Lycurgus_s-163_w-3",0.372993389990557
"43","DiodorusSic_Book11","Polybius_Book_1_s-458_w-2",0.295719844357977
"44","DiodorusSic_Book11","Polybius_Book_1_s-560_w-48",0.331041257367387
"45","DiodorusSic_Book11","Polybius_Book1",0.45775462962963
"46","DiodorusSic_Book11","Thuc_Book_1_s-552_w-19",0.36529242569511
"47","DiodorusSic_Book11","Thuc_Book_1_s-586_w-15",0.350893697083725
"48","DiodorusSic_Book11","Thucydides_Book1",0.492159227985525
"49","Hdt_Book_1_s-1440_w-6","Hdt_Book_1_s-743_w-4",0.429892141756549
"50","Hdt_Book_1_s-1440_w-6","Herodotus_Book1",0.280588235294118
"51","Hdt_Book_1_s-1440_w-6","Plutarch_Alcibiades",0.381040892193309
"52","Hdt_Book_1_s-1440_w-6","Plutarch_Alcibiades_s-132_w-14",0.456845238095238
"53","Hdt_Book_1_s-1440_w-6","Plutarch_Alcibiades_s-295_w-2",0.440134907251265
"54","Hdt_Book_1_s-1440_w-6","Plutarch_Lycurgus",0.358260869565217
"55","Hdt_Book_1_s-1440_w-6","Plutarch_Lycurgus_s-116_w-28",0.486486486486487
"56","Hdt_Book_1_s-1440_w-6","Plutarch_Lycurgus_s-163_w-3",0.456488549618321
"57","Hdt_Book_1_s-1440_w-6","Polybius_Book_1_s-458_w-2",0.410169491525424
"58","Hdt_Book_1_s-1440_w-6","Polybius_Book_1_s-560_w-48",0.441821247892074
"59","Hdt_Book_1_s-1440_w-6","Polybius_Book1",0.288449266113593
"60","Hdt_Book_1_s-1440_w-6","Thuc_Book_1_s-552_w-19",0.459715639810427
"61","Hdt_Book_1_s-1440_w-6","Thuc_Book_1_s-586_w-15",0.426829268292683
"62","Hdt_Book_1_s-1440_w-6","Thucydides_Book1",0.302970297029703
"63","Hdt_Book_1_s-743_w-4","Herodotus_Book1",0.239478363959692
"64","Hdt_Book_1_s-743_w-4","Plutarch_Alcibiades",0.347449470644851
"65","Hdt_Book_1_s-743_w-4","Plutarch_Alcibiades_s-132_w-14",0.43338683788122
"66","Hdt_Book_1_s-743_w-4","Plutarch_Alcibiades_s-295_w-2",0.505882352941176
"67","Hdt_Book_1_s-743_w-4","Plutarch_Lycurgus",0.327338129496403
"68","Hdt_Book_1_s-743_w-4","Plutarch_Lycurgus_s-116_w-28",0.421383647798742
"69","Hdt_Book_1_s-743_w-4","Plutarch_Lycurgus_s-163_w-3",0.483760683760684
"70","Hdt_Book_1_s-743_w-4","Polybius_Book_1_s-458_w-2",0.462745098039216
"71","Hdt_Book_1_s-743_w-4","Polybius_Book_1_s-560_w-48",0.49031007751938
"72","Hdt_Book_1_s-743_w-4","Polybius_Book1",0.251132686084142
"73","Hdt_Book_1_s-743_w-4","Thuc_Book_1_s-552_w-19",0.499105545617174
"74","Hdt_Book_1_s-743_w-4","Thuc_Book_1_s-586_w-15",0.531531531531532
"75","Hdt_Book_1_s-743_w-4","Thucydides_Book1",0.267114093959732
"76","Herodotus_Book1","Plutarch_Alcibiades",0.428032345013477
"77","Herodotus_Book1","Plutarch_Alcibiades_s-132_w-14",0.262971698113208
"78","Herodotus_Book1","Plutarch_Alcibiades_s-295_w-2",0.193491124260355
"79","Herodotus_Book1","Plutarch_Lycurgus",0.441036488630354
"80","Herodotus_Book1","Plutarch_Lycurgus_s-116_w-28",0.262016412661196
"81","Herodotus_Book1","Plutarch_Lycurgus_s-163_w-3",0.248967551622419
"82","Herodotus_Book1","Polybius_Book_1_s-458_w-2",0.181872037914692
"83","Herodotus_Book1","Polybius_Book_1_s-560_w-48",0.202622169249106
"84","Herodotus_Book1","Polybius_Book1",0.505203405865657
"85","Herodotus_Book1","Thuc_Book_1_s-552_w-19",0.231995277449823
"86","Herodotus_Book1","Thuc_Book_1_s-586_w-15",0.232530827950675
"87","Herodotus_Book1","Thucydides_Book1",0.500239120038259
"88","Plutarch_Alcibiades","Plutarch_Alcibiades_s-132_w-14",0.403288201160542
"89","Plutarch_Alcibiades","Plutarch_Alcibiades_s-295_w-2",0.307692307692308
"90","Plutarch_Alcibiades","Plutarch_Lycurgus",0.486842105263158
"91","Plutarch_Alcibiades","Plutarch_Lycurgus_s-116_w-28",0.358736059479554
"92","Plutarch_Alcibiades","Plutarch_Lycurgus_s-163_w-3",0.407699901283317
"93","Plutarch_Alcibiades","Polybius_Book_1_s-458_w-2",0.293650793650794
"94","Plutarch_Alcibiades","Polybius_Book_1_s-560_w-48",0.332329317269076
"95","Plutarch_Alcibiades","Polybius_Book1",0.425057208237986
"96","Plutarch_Alcibiades","Thuc_Book_1_s-552_w-19",0.374015748031496
"97","Plutarch_Alcibiades","Thuc_Book_1_s-586_w-15",0.359073359073359
"98","Plutarch_Alcibiades","Thucydides_Book1",0.471720818291215
"99","Plutarch_Alcibiades_s-132_w-14","Plutarch_Alcibiades_s-295_w-2",0.467741935483871
"100","Plutarch_Alcibiades_s-132_w-14","Plutarch_Lycurgus",0.385662431941924
"101","Plutarch_Alcibiades_s-132_w-14","Plutarch_Lycurgus_s-116_w-28",0.453576864535769
"102","Plutarch_Alcibiades_s-132_w-14","Plutarch_Lycurgus_s-163_w-3",0.509031198686371
"103","Plutarch_Alcibiades_s-132_w-14","Polybius_Book_1_s-458_w-2",0.44122965641953
"104","Plutarch_Alcibiades_s-132_w-14","Polybius_Book_1_s-560_w-48",0.482820976491863
"105","Plutarch_Alcibiades_s-132_w-14","Thuc_Book_1_s-552_w-19",0.499156829679595
"106","Plutarch_Alcibiades_s-132_w-14","Thuc_Book_1_s-586_w-15",0.462662337662338
"107","Plutarch_Alcibiades_s-132_w-14","Thucydides_Book1",0.290945406125166
"108","Plutarch_Alcibiades_s-295_w-2","Plutarch_Lycurgus",0.29097605893186
"109","Plutarch_Alcibiades_s-295_w-2","Plutarch_Lycurgus_s-116_w-28",0.46384479717813
"110","Plutarch_Alcibiades_s-295_w-2","Plutarch_Lycurgus_s-163_w-3",0.512380952380952
"111","Plutarch_Alcibiades_s-295_w-2","Polybius_Book_1_s-458_w-2",0.483443708609272
"112","Plutarch_Alcibiades_s-295_w-2","Polybius_Book_1_s-560_w-48",0.524122807017544
"113","Plutarch_Alcibiades_s-295_w-2","Polybius_Book1",0.212654924983692
"114","Plutarch_Alcibiades_s-295_w-2","Thuc_Book_1_s-552_w-19",0.524950099800399
"115","Plutarch_Alcibiades_s-295_w-2","Thuc_Book_1_s-586_w-15",0.489443378119002
"116","Plutarch_Alcibiades_s-295_w-2","Thucydides_Book1",0.221548821548822
"117","Plutarch_Lycurgus","Plutarch_Lycurgus_s-116_w-28",0.345581802274716
"118","Plutarch_Lycurgus","Plutarch_Lycurgus_s-163_w-3",0.361740707162285
"119","Plutarch_Lycurgus","Polybius_Book_1_s-458_w-2",0.277777777777778
"120","Plutarch_Lycurgus","Polybius_Book_1_s-560_w-48",0.309990662931839
"121","Plutarch_Lycurgus","Polybius_Book1",0.435682326621924
"122","Plutarch_Lycurgus","Thuc_Book_1_s-552_w-19",0.341841385597083
"123","Plutarch_Lycurgus","Thuc_Book_1_s-586_w-15",0.340560072267389
"124","Plutarch_Lycurgus","Thucydides_Book1",0.428895184135977
"125","Plutarch_Lycurgus_s-116_w-28","Plutarch_Lycurgus_s-163_w-3",0.453125
"126","Plutarch_Lycurgus_s-116_w-28","Polybius_Book_1_s-458_w-2",0.397923875432526
"127","Plutarch_Lycurgus_s-116_w-28","Polybius_Book_1_s-560_w-48",0.418088737201365
"128","Plutarch_Lycurgus_s-116_w-28","Polybius_Book1",0.27151051625239
"129","Plutarch_Lycurgus_s-116_w-28","Thuc_Book_1_s-552_w-19",0.435406698564593
"130","Plutarch_Lycurgus_s-116_w-28","Thuc_Book_1_s-586_w-15",0.456869009584665
"131","Plutarch_Lycurgus_s-116_w-28","Thucydides_Book1",0.280367695338148
"132","Plutarch_Lycurgus_s-163_w-3","Polybius_Book_1_s-458_w-2",0.49034749034749
"133","Plutarch_Lycurgus_s-163_w-3","Polybius_Book_1_s-560_w-48",0.505681818181818
"134","Plutarch_Lycurgus_s-163_w-3","Polybius_Book1",0.272904483430799
"135","Plutarch_Lycurgus_s-163_w-3","Thuc_Book_1_s-552_w-19",0.497400346620451
"136","Plutarch_Lycurgus_s-163_w-3","Thuc_Book_1_s-586_w-15",0.492333901192504
"137","Plutarch_Lycurgus_s-163_w-3","Thucydides_Book1",0.289757412398922
"138","Polybius_Book_1_s-458_w-2","Polybius_Book_1_s-560_w-48",0.52262443438914
"139","Polybius_Book_1_s-458_w-2","Polybius_Book1",0.206172028890348
"140","Polybius_Book_1_s-458_w-2","Thuc_Book_1_s-552_w-19",0.495967741935484
"141","Polybius_Book_1_s-458_w-2","Thuc_Book_1_s-586_w-15",0.47843137254902
"142","Polybius_Book_1_s-458_w-2","Thucydides_Book1",0.205110961667788
"143","Polybius_Book_1_s-560_w-48","Polybius_Book1",0.222879684418146
"144","Polybius_Book_1_s-560_w-48","Thuc_Book_1_s-552_w-19",0.52390438247012
"145","Polybius_Book_1_s-560_w-48","Thuc_Book_1_s-586_w-15",0.471590909090909
"146","Polybius_Book_1_s-560_w-48","Thucydides_Book1",0.23134328358209
"147","Polybius_Book1","Thuc_Book_1_s-552_w-19",0.26160889470242
"148","Polybius_Book1","Thuc_Book_1_s-586_w-15",0.250644329896907
"149","Polybius_Book1","Thucydides_Book1",0.498490945674044
"150","Thuc_Book_1_s-552_w-19","Thuc_Book_1_s-586_w-15",0.466204506065858
"151","Thuc_Book_1_s-552_w-19","Thucydides_Book1",0.272113436866982
"152","Thuc_Book_1_s-586_w-15","Thucydides_Book1",0.264
